instalacion,factura,anio,mes,codigo_acceso,tipo
I0247958,,,,,
I0247960,,,,,
I0247956,,,,,
I0247954,,,,,
I0247955,,,,,
I0247965,,,,,
I0247968,,,,,
I0247964,,,,,
I0247961,,,,,
I0247963,,,,,
RDD02340,,,,,
RDD02341,,,,,
RDD02339,,,,,
RDD02337,,,,,
RDD02338,,,,,
I0242176,,,,,
I0205929,,,,,
RDD02344,,,,,
RDD02342,,,,,
RDD02343,,,,,
I0247969,,,,,
I0260547,,,,,
I0260549,,,,,
I0260546,,,,,
I0260542,,,,,
I0260544,,,,,
T0194549,,,,,
T0079716,,,,,
T0061081,,,,,
T0164711,,,,,
T0166776,,,,,
I0248620,,,,,
I0257124,,,,,
I0248142,,,,,
I0247970,,,,,
I0247971,,,,,
I0260436,,,,,
I0260500,,,,,
I0260434,,,,,
I0260430,,,,,
I0260432,,,,,
RDD02336,,,,,
RDD02308,,,,,
RDD02309,,,,,
RDD02307,,,,,
RDD02305,,,,,
RDD02306,,,,,
RDD02313,,,,,
RDD02314,,,,,
RDD02312,,,,,
RDD02310,,,,,
RDD02311,,,,,
RDD02235,,,,,
RDD02296,,,,,
RDD01974,,,,,
RDD01966,,,,,
RDD01973,,,,,
RDD02303,,,,,
RDD02304,,,,,
RDD02302,,,,,
RDD02300,,,,,
RDD02301,,,,,
RDD02315,,,,,
RDD02329,,,,,
RDD02330,,,,,
RDD02328,,,,,
RDD02326,,,,,
RDD02327,,,,,
RDD02334,,,,,
RDD02335,,,,,
RDD02333,,,,,
RDD02331,,,,,
RDD02332,,,,,
RDD02319,,,,,
RDD02320,,,,,
RDD02318,,,,,
RDD02316,,,,,
RDD02317,,,,,
RDD02324,,,,,
RDD02325,,,,,
RDD02323,,,,,
RDD02321,,,,,
RDD02322,,,,,
